Date,Open,High,Low,Close,Adj Close,Volume
2001-04-23,11900.000000,17950.000000,11900.000000,17950.000000,13339.301758,2054300
2001-04-30,18900.000000,20700.000000,17500.000000,18850.000000,14008.125977,3540300
2001-05-07,18850.000000,24700.000000,18300.000000,24000.000000,17835.281250,2445900
2001-05-14,23150.000000,26800.000000,22250.000000,25950.000000,19284.394531,2561400
2001-05-21,26900.000000,28150.000000,25200.000000,27950.000000,20770.667969,2029300
2001-05-28,27950.000000,34500.000000,27000.000000,30000.000000,22294.097656,2254900
2001-06-04,30000.000000,30850.000000,27200.000000,30000.000000,22294.097656,1297900
2001-06-11,29300.000000,31500.000000,29050.000000,30300.000000,22517.041016,760300
2001-06-18,30700.000000,31500.000000,27700.000000,29250.000000,21736.744141,788400
2001-06-25,29300.000000,31200.000000,29000.000000,29450.000000,21885.375000,413100
2001-07-02,29100.000000,29300.000000,27000.000000,27300.000000,20287.632813,608200
2001-07-09,27000.000000,27300.000000,25700.000000,26500.000000,19693.117188,399500
2001-07-16,26500.000000,27150.000000,25800.000000,26300.000000,19544.490234,248300
2001-07-23,26200.000000,26250.000000,22100.000000,23400.000000,17389.396484,431400
2001-07-30,23400.000000,25800.000000,22500.000000,25200.000000,18727.042969,418400
2001-08-06,25200.000000,26450.000000,24750.000000,25700.000000,19098.609375,880500
2001-08-13,26000.000000,26100.000000,25000.000000,25600.000000,19024.296875,347300
2001-08-20,24700.000000,25200.000000,23800.000000,24200.000000,17983.904297,307400
2001-08-27,24200.000000,25600.000000,24200.000000,24600.000000,18281.164063,432500
2001-09-03,26200.000000,26200.000000,24700.000000,25850.000000,19210.082031,510600
2001-09-10,25400.000000,26150.000000,21950.000000,24950.000000,18541.257813,438400
2001-09-17,24900.000000,25800.000000,24300.000000,25800.000000,19172.921875,350000
2001-09-24,25800.000000,27100.000000,25800.000000,27000.000000,20064.687500,349000
2001-10-01,27000.000000,28100.000000,26900.000000,27100.000000,20139.003906,193000
2001-10-08,27100.000000,27900.000000,26600.000000,27100.000000,20139.003906,202900
2001-10-15,27000.000000,28200.000000,26450.000000,27400.000000,20361.943359,310600
2001-10-22,27700.000000,29700.000000,26800.000000,29150.000000,21662.431641,412700
2001-10-29,29500.000000,29500.000000,28000.000000,28500.000000,21179.394531,223400
2001-11-05,29000.000000,29000.000000,28000.000000,28300.000000,21030.765625,225200
2001-11-12,29200.000000,29200.000000,27500.000000,28600.000000,21253.708984,346000
2001-11-19,28900.000000,32450.000000,28600.000000,32100.000000,23854.685547,563000
2001-11-26,31900.000000,33200.000000,30100.000000,31400.000000,23334.488281,528000
2001-12-03,31100.000000,33300.000000,29150.000000,30500.000000,22665.667969,674700
2001-12-10,30500.000000,33050.000000,29700.000000,32500.000000,24151.937500,723000
2001-12-17,33000.000000,33000.000000,27550.000000,28100.000000,20882.138672,401200
2001-12-24,28100.000000,29300.000000,27400.000000,28900.000000,21476.650391,345900
2001-12-31,28900.000000,36750.000000,28500.000000,36000.000000,27741.933594,530600
2002-01-07,35000.000000,35700.000000,32600.000000,33100.000000,25507.167969,542300
2002-01-14,33100.000000,35900.000000,32000.000000,34800.000000,26817.203125,304300
2002-01-21,34800.000000,46300.000000,34100.000000,40600.000000,31286.736328,1152600
2002-01-28,40050.000000,43900.000000,37700.000000,37900.000000,29206.085938,605600
2002-02-04,37150.000000,38350.000000,34050.000000,37050.000000,28551.072266,1055100
2002-02-11,37050.000000,42000.000000,37050.000000,40900.000000,31517.919922,389400
2002-02-18,40400.000000,41400.000000,35650.000000,36450.000000,28088.707031,944200
2002-02-25,36600.000000,39750.000000,36600.000000,39000.000000,30053.765625,825300
2002-03-04,39000.000000,41300.000000,37600.000000,38100.000000,29360.216797,1011300
2002-03-11,38000.000000,44550.000000,38000.000000,43400.000000,33444.445313,1372300
2002-03-18,45300.000000,51900.000000,45000.000000,47700.000000,36758.062500,1551200
2002-03-25,47500.000000,49000.000000,43800.000000,45000.000000,34677.414063,766900
2002-04-01,45600.000000,47800.000000,43000.000000,46650.000000,35948.925781,735300
2002-04-08,46500.000000,46500.000000,42000.000000,43500.000000,33521.500000,503900
2002-04-15,43500.000000,45800.000000,43250.000000,43450.000000,33482.976563,597300
2002-04-22,42600.000000,43300.000000,40200.000000,40600.000000,31286.736328,633300
2002-04-29,40200.000000,41200.000000,38750.000000,40500.000000,31209.677734,484800
2002-05-06,40500.000000,41600.000000,38050.000000,38100.000000,29360.216797,598700
2002-05-13,37150.000000,41500.000000,37150.000000,41300.000000,31826.158203,408700
2002-05-20,41500.000000,42250.000000,39100.000000,39700.000000,30593.189453,259900
2002-05-27,40000.000000,40000.000000,37500.000000,38000.000000,29283.154297,220800
2002-06-03,38300.000000,38450.000000,35500.000000,35800.000000,27587.814453,333200
2002-06-10,35700.000000,42500.000000,35700.000000,40000.000000,30824.369141,442900
2002-06-17,40500.000000,40800.000000,35500.000000,38500.000000,29668.466797,214100
2002-06-24,38500.000000,39000.000000,34800.000000,36150.000000,27857.531250,371300
2002-07-01,36150.000000,41200.000000,34900.000000,40800.000000,31440.865234,398100
2002-07-08,41300.000000,42450.000000,39700.000000,41600.000000,32057.359375,450100
2002-07-15,41750.000000,42300.000000,40100.000000,40800.000000,31440.865234,197900
2002-07-22,39550.000000,40000.000000,36900.000000,37900.000000,29206.085938,543100
2002-07-29,38600.000000,40700.000000,36800.000000,39000.000000,30053.765625,434300
2002-08-05,38100.000000,39050.000000,35250.000000,37550.000000,28936.384766,212700
2002-08-12,38200.000000,40700.000000,37700.000000,39700.000000,30593.189453,420700
2002-08-19,39700.000000,42900.000000,39700.000000,42700.000000,32905.007813,301900
2002-08-26,41250.000000,42000.000000,40150.000000,41000.000000,31594.984375,195500
2002-09-02,41100.000000,42000.000000,39650.000000,40700.000000,31363.802734,128800
2002-09-09,40500.000000,42950.000000,39600.000000,42500.000000,32750.902344,242000
2002-09-16,42500.000000,43300.000000,40250.000000,42150.000000,32481.181641,201400
